r,g,b,a
0.64705884,0.0,0.33333334,1.0
0.6509804,0.0,0.32941177,1.0
0.6509804,0.0,0.32941177,1.0
0.6509804,0.0,0.32941177,1.0
0.6509804,0.0,0.32941177,1.0
0.654902,0.0,0.3254902,1.0
0.654902,0.0,0.3254902,1.0
0.654902,0.0,0.3254902,1.0
0.654902,0.0,0.3254902,1.0
0.65882355,0.0,0.32156864,1.0
0.65882355,0.0,0.32156864,1.0
0.65882355,0.0,0.32156864,1.0
0.65882355,0.0,0.32156864,1.0
0.6627451,0.0,0.31764707,1.0
0.6627451,0.0,0.31764707,1.0
0.6627451,0.0,0.31764707,1.0
0.6627451,0.0,0.31764707,1.0
0.6666667,0.0,0.3137255,1.0
0.6666667,0.0,0.3137255,1.0
0.6666667,0.0,0.3137255,1.0
0.6666667,0.0,0.3137255,1.0
0.67058825,0.0,0.30980393,1.0
0.67058825,0.0,0.30980393,1.0
0.67058825,0.0,0.30980393,1.0
0.67058825,0.0,0.30588236,1.0
0.6745098,0.0,0.30588236,1.0
0.6745098,0.0,0.30588236,1.0
0.6745098,0.0,0.30588236,1.0
0.6745098,0.0,0.3019608,1.0
0.6784314,0.0,0.3019608,1.0
0.6784314,0.0,0.3019608,1.0
0.6784314,0.0,0.3019608,1.0
0.6784314,0.0,0.29803923,1.0
0.68235296,0.0,0.29803923,1.0
0.68235296,0.0,0.29803923,1.0
0.68235296,0.0,0.29803923,1.0
0.68235296,0.0,0.29411766,1.0
0.6862745,0.0,0.29411766,1.0
0.6862745,0.0,0.29411766,1.0
0.6862745,0.0,0.29411766,1.0
0.6862745,0.0,0.2901961,1.0
0.6901961,0.0,0.2901961,1.0
0.6901961,0.0,0.2901961,1.0
0.6901961,0.0,0.2901961,1.0
0.6901961,0.0,0.28627452,1.0
0.69411767,0.0,0.28627452,1.0
0.69411767,0.0,0.28627452,1.0
0.69411767,0.0,0.28627452,1.0
0.69411767,0.0,0.28235295,1.0
0.69803923,0.0,0.28235295,1.0
0.69803923,0.0,0.28235295,1.0
0.69803923,0.0,0.28235295,1.0
0.69803923,0.0,0.2784314,1.0
0.7019608,0.0,0.2784314,1.0
0.7019608,0.0,0.2784314,1.0
0.7019608,0.0,0.2784314,1.0
0.7019608,0.0,0.27450982,1.0
0.7058824,0.0,0.27450982,1.0
0.7058824,0.0,0.27450982,1.0
0.7058824,0.0,0.27450982,1.0
0.7058824,0.0,0.27058825,1.0
0.70980394,0.0,0.27058825,1.0
0.70980394,0.0,0.27058825,1.0
0.70980394,0.0,0.26666668,1.0
0.70980394,0.0,0.26666668,1.0
0.7137255,0.0,0.26666668,1.0
0.7137255,0.0,0.26666668,1.0
0.7137255,0.0,0.2627451,1.0
0.7137255,0.0,0.2627451,1.0
0.7176471,0.0,0.2627451,1.0
0.7176471,0.0,0.2627451,1.0
0.7176471,0.0,0.25882354,1.0
0.7176471,0.0,0.25882354,1.0
0.72156864,0.0,0.25882354,1.0
0.72156864,0.0,0.25882354,1.0
0.72156864,0.0,0.25490198,1.0
0.72156864,0.0,0.25490198,1.0
0.7254902,0.0,0.25490198,1.0
0.7254902,0.0,0.25490198,1.0
0.7254902,0.0,0.2509804,1.0
0.7254902,0.0,0.2509804,1.0
0.7294118,0.0,0.2509804,1.0
0.7294118,0.0,0.2509804,1.0
0.7294118,0.0,0.24705882,1.0
0.7294118,0.0,0.24705882,1.0
0.73333335,0.0,0.24705882,1.0
0.73333335,0.0,0.24705882,1.0
0.73333335,0.0,0.24313726,1.0
0.73333335,0.0,0.24313726,1.0
0.7372549,0.0,0.24313726,1.0
0.7372549,0.0,0.24313726,1.0
0.7372549,0.0,0.23921569,1.0
0.7372549,0.0,0.23921569,1.0
0.7411765,0.0,0.23921569,1.0
0.7411765,0.0,0.23921569,1.0
0.7411765,0.0,0.23529412,1.0
0.7411765,0.0,0.23529412,1.0
0.74509805,0.0,0.23529412,1.0
0.74509805,0.0,0.23529412,1.0
0.74509805,0.0,0.23137255,1.0
0.74509805,0.0,0.23137255,1.0
0.7490196,0.0,0.23137255,1.0
0.7490196,0.0,0.22745098,1.0
0.7490196,0.0,0.22745098,1.0
0.7490196,0.0,0.22745098,1.0
0.7529412,0.0,0.22745098,1.0
0.7529412,0.0,0.22352941,1.0
0.7529412,0.0,0.22352941,1.0
0.7529412,0.0,0.22352941,1.0
0.75686276,0.0,0.22352941,1.0
0.75686276,0.0,0.21960784,1.0
0.75686276,0.0,0.21960784,1.0
0.75686276,0.0,0.21960784,1.0
0.7607843,0.0,0.21960784,1.0
0.7607843,0.0,0.21568628,1.0
0.7607843,0.0,0.21568628,1.0
0.7607843,0.0,0.21568628,1.0
0.7647059,0.0,0.21568628,1.0
0.7647059,0.0,0.21176471,1.0
0.7647059,0.0,0.21176471,1.0
0.7647059,0.0,0.21176471,1.0
0.76862746,0.0,0.21176471,1.0
0.76862746,0.0,0.20784314,1.0
0.76862746,0.0,0.20784314,1.0
0.76862746,0.0,0.20784314,1.0
0.77254903,0.0,0.20784314,1.0
0.77254903,0.0,0.20392157,1.0
0.77254903,0.0,0.20392157,1.0
0.77254903,0.0,0.20392157,1.0
0.7764706,0.0,0.20392157,1.0
0.7764706,0.0,0.2,1.0
0.7764706,0.0,0.2,1.0
0.7764706,0.0,0.2,1.0
0.78039217,0.0,0.2,1.0
0.78039217,0.0,0.19607843,1.0
0.78039217,0.0,0.19607843,1.0
0.78039217,0.0,0.19607843,1.0
0.78431374,0.0,0.19607843,1.0
0.78431374,0.0,0.19215687,1.0
0.78431374,0.0,0.19215687,1.0
0.78431374,0.0,0.19215687,1.0
0.7882353,0.0,0.1882353,1.0
0.7882353,0.0,0.1882353,1.0
0.7882353,0.0,0.1882353,1.0
0.7882353,0.0,0.1882353,1.0
0.7921569,0.0,0.18431373,1.0
0.7921569,0.0,0.18431373,1.0
0.7921569,0.0,0.18431373,1.0
0.7921569,0.0,0.18431373,1.0
0.79607844,0.0,0.18039216,1.0
0.79607844,0.0,0.18039216,1.0
0.79607844,0.0,0.18039216,1.0
0.79607844,0.0,0.18039216,1.0
0.8,0.0,0.1764706,1.0
0.8,0.0,0.1764706,1.0
0.8,0.0,0.1764706,1.0
0.8,0.0,0.1764706,1.0
0.8039216,0.0,0.17254902,1.0
0.8039216,0.0,0.17254902,1.0
0.8039216,0.0,0.17254902,1.0
0.8039216,0.0,0.17254902,1.0
0.80784315,0.0,0.16862746,1.0
0.80784315,0.0,0.16862746,1.0
0.80784315,0.0,0.16862746,1.0
0.80784315,0.0,0.16862746,1.0
0.8117647,0.0,0.16470589,1.0
0.8117647,0.0,0.16470589,1.0
0.8117647,0.0,0.16470589,1.0
0.8117647,0.0,0.16470589,1.0
0.8156863,0.0,0.16078432,1.0
0.8156863,0.0,0.16078432,1.0
0.8156863,0.0,0.16078432,1.0
0.8156863,0.0,0.16078432,1.0
0.81960785,0.0,0.15686275,1.0
0.81960785,0.0,0.15686275,1.0
0.81960785,0.0,0.15686275,1.0
0.81960785,0.0,0.15686275,1.0
0.8235294,0.0,0.15294118,1.0
0.8235294,0.0,0.15294118,1.0
0.8235294,0.0,0.15294118,1.0
0.8235294,0.0,0.15294118,1.0
0.827451,0.0,0.14901961,1.0
0.827451,0.0,0.14901961,1.0
0.827451,0.0,0.14901961,1.0
0.827451,0.0,0.14901961,1.0
0.83137256,0.0,0.14509805,1.0
0.83137256,0.0,0.14509805,1.0
0.83137256,0.0,0.14509805,1.0
0.83137256,0.0,0.14509805,1.0
0.8352941,0.0,0.14117648,1.0
0.8352941,0.0,0.14117648,1.0
0.8352941,0.0,0.14117648,1.0
0.8352941,0.0,0.14117648,1.0
0.8392157,0.0,0.13725491,1.0
0.8392157,0.0,0.13725491,1.0
0.8392157,0.0,0.13725491,1.0
0.8392157,0.0,0.13725491,1.0
0.84313726,0.0,0.13333334,1.0
0.84313726,0.0,0.13333334,1.0
0.84313726,0.0,0.13333334,1.0
0.84313726,0.0,0.13333334,1.0
0.84705883,0.0,0.12941177,1.0
0.84705883,0.0,0.12941177,1.0
0.84705883,0.0,0.12941177,1.0
0.84705883,0.0,0.12941177,1.0
0.84705883,0.0,0.12941177,1.0
0.8509804,0.0,0.1254902,1.0
0.8509804,0.0,0.1254902,1.0
0.8509804,0.0,0.1254902,1.0
0.8509804,0.0,0.1254902,1.0
0.85490197,0.0,0.12156863,1.0
0.85490197,0.0,0.12156863,1.0
0.85490197,0.0,0.12156863,1.0
0.85490197,0.0,0.12156863,1.0
0.85882354,0.0,0.11764706,1.0
0.85882354,0.0,0.11764706,1.0
0.85882354,0.0,0.11764706,1.0
0.85882354,0.0,0.11764706,1.0
0.8627451,0.0,0.11372549,1.0
0.8627451,0.0,0.11372549,1.0
0.8627451,0.0,0.11372549,1.0
0.8627451,0.0,0.11372549,1.0
0.8666667,0.0,0.10980392,1.0
0.8666667,0.0,0.10980392,1.0
0.8666667,0.0,0.10980392,1.0
0.8666667,0.0,0.10980392,1.0
0.87058824,0.0,0.105882354,1.0
0.87058824,0.0,0.105882354,1.0
0.87058824,0.0,0.105882354,1.0
0.87058824,0.0,0.105882354,1.0
0.8745098,0.0,0.101960786,1.0
0.8745098,0.0,0.101960786,1.0
0.8745098,0.0,0.101960786,1.0
0.8745098,0.0,0.101960786,1.0
0.8784314,0.0,0.09803922,1.0
0.8784314,0.0,0.09803922,1.0
0.8784314,0.0,0.09803922,1.0
0.8784314,0.0,0.09803922,1.0
0.88235295,0.0,0.09411765,1.0
0.88235295,0.0,0.09411765,1.0
0.88235295,0.0,0.09411765,1.0
0.88235295,0.0,0.09411765,1.0
0.8862745,0.0,0.09019608,1.0
0.8862745,0.0,0.09019608,1.0
0.8862745,0.0,0.09019608,1.0
0.8862745,0.0,0.09019608,1.0
0.8901961,0.0,0.08627451,1.0
0.8901961,0.0,0.08627451,1.0
0.8901961,0.0,0.08627451,1.0
0.8901961,0.0,0.08627451,1.0
0.89411765,0.0,0.08235294,1.0
0.89411765,0.0,0.08235294,1.0
0.89411765,0.0,0.08235294,1.0
0.89411765,0.0,0.08235294,1.0
0.8980392,0.0,0.078431375,1.0
0.8980392,0.0,0.078431375,1.0
0.8980392,0.0,0.078431375,1.0
0.8980392,0.0,0.078431375,1.0
0.9019608,0.0,0.07450981,1.0
0.9019608,0.0,0.07450981,1.0
0.9019608,0.0,0.07450981,1.0
0.9019608,0.0,0.07450981,1.0
0.90588236,0.0,0.07058824,1.0
0.90588236,0.0,0.07058824,1.0
0.90588236,0.0,0.07058824,1.0
0.90588236,0.0,0.07058824,1.0
0.9098039,0.0,0.06666667,1.0
0.9098039,0.0,0.06666667,1.0
0.9098039,0.0,0.06666667,1.0
0.9098039,0.0,0.06666667,1.0
0.9137255,0.0,0.0627451,1.0
0.9137255,0.0,0.0627451,1.0
0.9137255,0.0,0.0627451,1.0
0.9137255,0.0,0.0627451,1.0
0.91764706,0.0,0.05882353,1.0
0.91764706,0.0,0.05882353,1.0
0.91764706,0.0,0.05882353,1.0
0.91764706,0.0,0.05882353,1.0
0.92156863,0.0,0.05490196,1.0
0.92156863,0.0,0.05490196,1.0
0.92156863,0.0,0.05490196,1.0
0.92156863,0.0,0.05490196,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.0,0.050980393,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.003921569,0.047058824,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.007843138,0.043137256,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.011764706,0.039215688,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.015686275,0.03529412,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.019607844,0.03137255,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.023529412,0.02745098,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.02745098,0.023529412,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03137255,0.019607844,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.03529412,0.015686275,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.039215688,0.011764706,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.043137256,0.007843138,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.047058824,0.003921569,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.9254902,0.050980393,0.0,1.0
0.92156863,0.05490196,0.0,1.0
0.92156863,0.05490196,0.0,1.0
0.92156863,0.05490196,0.0,1.0
0.92156863,0.05490196,0.0,1.0
0.91764706,0.05882353,0.0,1.0
0.91764706,0.05882353,0.0,1.0
0.91764706,0.05882353,0.0,1.0
0.91764706,0.05882353,0.0,1.0
0.9137255,0.0627451,0.0,1.0
0.9137255,0.0627451,0.0,1.0
0.9137255,0.0627451,0.0,1.0
0.9137255,0.0627451,0.0,1.0
0.9098039,0.06666667,0.0,1.0
0.9098039,0.06666667,0.0,1.0
0.9098039,0.06666667,0.0,1.0
0.9098039,0.06666667,0.0,1.0
0.90588236,0.07058824,0.0,1.0
0.90588236,0.07058824,0.0,1.0
0.90588236,0.07058824,0.0,1.0
0.90588236,0.07058824,0.0,1.0
0.9019608,0.07450981,0.0,1.0
0.9019608,0.07450981,0.0,1.0
0.9019608,0.07450981,0.0,1.0
0.9019608,0.07450981,0.0,1.0
0.8980392,0.078431375,0.0,1.0
0.8980392,0.078431375,0.0,1.0
0.8980392,0.078431375,0.0,1.0
0.8980392,0.078431375,0.0,1.0
0.89411765,0.08235294,0.0,1.0
0.89411765,0.08235294,0.0,1.0
0.89411765,0.08235294,0.0,1.0
0.89411765,0.08235294,0.0,1.0
0.8901961,0.08627451,0.0,1.0
0.8901961,0.08627451,0.0,1.0
0.8901961,0.08627451,0.0,1.0
0.8901961,0.08627451,0.0,1.0
0.8862745,0.09019608,0.0,1.0
0.8862745,0.09019608,0.0,1.0
0.8862745,0.09019608,0.0,1.0
0.8862745,0.09019608,0.0,1.0
0.88235295,0.09411765,0.0,1.0
0.88235295,0.09411765,0.0,1.0
0.88235295,0.09411765,0.0,1.0
0.88235295,0.09411765,0.0,1.0
0.8784314,0.09803922,0.0,1.0
0.8784314,0.09803922,0.0,1.0
0.8784314,0.09803922,0.0,1.0
0.8784314,0.09803922,0.0,1.0
0.8745098,0.101960786,0.0,1.0
0.8745098,0.101960786,0.0,1.0
0.8745098,0.101960786,0.0,1.0
0.8745098,0.101960786,0.0,1.0
0.87058824,0.105882354,0.0,1.0
0.87058824,0.105882354,0.0,1.0
0.87058824,0.105882354,0.0,1.0
0.87058824,0.105882354,0.0,1.0
0.8666667,0.10980392,0.0,1.0
0.8666667,0.10980392,0.0,1.0
0.8666667,0.10980392,0.0,1.0
0.8666667,0.10980392,0.0,1.0
0.8627451,0.11372549,0.0,1.0
0.8627451,0.11372549,0.0,1.0
0.8627451,0.11372549,0.0,1.0
0.8627451,0.11372549,0.0,1.0
0.85882354,0.11764706,0.0,1.0
0.85882354,0.11764706,0.0,1.0
0.85882354,0.11764706,0.0,1.0
0.85882354,0.11764706,0.0,1.0
0.85490197,0.12156863,0.0,1.0
0.85490197,0.12156863,0.0,1.0
0.85490197,0.12156863,0.0,1.0
0.85490197,0.12156863,0.0,1.0
0.8509804,0.1254902,0.0,1.0
0.8509804,0.1254902,0.0,1.0
0.8509804,0.1254902,0.0,1.0
0.8509804,0.1254902,0.0,1.0
0.84705883,0.12941177,0.0,1.0
0.84705883,0.12941177,0.0,1.0
0.84705883,0.12941177,0.0,1.0
0.84705883,0.12941177,0.0,1.0
0.84705883,0.12941177,0.0,1.0
0.84313726,0.13333334,0.0,1.0
0.84313726,0.13333334,0.0,1.0
0.84313726,0.13333334,0.0,1.0
0.84313726,0.13333334,0.0,1.0
0.8392157,0.13725491,0.0,1.0
0.8392157,0.13725491,0.0,1.0
0.8392157,0.13725491,0.0,1.0
0.8392157,0.13725491,0.0,1.0
0.8352941,0.14117648,0.0,1.0
0.8352941,0.14117648,0.0,1.0
0.8352941,0.14117648,0.0,1.0
0.8352941,0.14117648,0.0,1.0
0.83137256,0.14509805,0.0,1.0
0.83137256,0.14509805,0.0,1.0
0.83137256,0.14509805,0.0,1.0
0.83137256,0.14509805,0.0,1.0
0.827451,0.14901961,0.0,1.0
0.827451,0.14901961,0.0,1.0
0.827451,0.14901961,0.0,1.0
0.827451,0.14901961,0.0,1.0
0.8235294,0.15294118,0.0,1.0
0.8235294,0.15294118,0.0,1.0
0.8235294,0.15294118,0.0,1.0
0.8235294,0.15294118,0.0,1.0
0.81960785,0.15686275,0.0,1.0
0.81960785,0.15686275,0.0,1.0
0.81960785,0.15686275,0.0,1.0
0.81960785,0.15686275,0.0,1.0
0.8156863,0.16078432,0.0,1.0
0.8156863,0.16078432,0.0,1.0
0.8156863,0.16078432,0.0,1.0
0.8156863,0.16078432,0.0,1.0
0.8117647,0.16470589,0.0,1.0
0.8117647,0.16470589,0.0,1.0
0.8117647,0.16470589,0.0,1.0
0.8117647,0.16470589,0.0,1.0
0.80784315,0.16862746,0.0,1.0
0.80784315,0.16862746,0.0,1.0
0.80784315,0.16862746,0.0,1.0
0.80784315,0.16862746,0.0,1.0
0.8039216,0.17254902,0.0,1.0
0.8039216,0.17254902,0.0,1.0
0.8039216,0.17254902,0.0,1.0
0.8039216,0.17254902,0.0,1.0
0.8,0.1764706,0.0,1.0
0.8,0.1764706,0.0,1.0
0.8,0.1764706,0.0,1.0
0.8,0.1764706,0.0,1.0
0.79607844,0.18039216,0.0,1.0
0.79607844,0.18039216,0.0,1.0
0.79607844,0.18039216,0.0,1.0
0.79607844,0.18039216,0.0,1.0
0.7921569,0.18431373,0.0,1.0
0.7921569,0.18431373,0.0,1.0
0.7921569,0.18431373,0.0,1.0
0.7921569,0.18431373,0.0,1.0
0.7882353,0.1882353,0.0,1.0
0.7882353,0.1882353,0.0,1.0
0.7882353,0.1882353,0.0,1.0
0.7882353,0.1882353,0.0,1.0
0.78431374,0.19215687,0.0,1.0
0.78431374,0.19215687,0.0,1.0
0.78431374,0.19215687,0.0,1.0
0.78431374,0.19215687,0.0,1.0
0.78039217,0.19607843,0.0,1.0
0.78039217,0.19607843,0.0,1.0
0.78039217,0.19607843,0.0,1.0
0.78039217,0.19607843,0.0,1.0
0.7764706,0.2,0.0,1.0
0.7764706,0.2,0.0,1.0
0.7764706,0.2,0.0,1.0
0.7764706,0.2,0.0,1.0
0.77254903,0.20392157,0.0,1.0
0.77254903,0.20392157,0.0,1.0
0.77254903,0.20392157,0.0,1.0
0.77254903,0.20392157,0.0,1.0
0.76862746,0.20784314,0.0,1.0
0.76862746,0.20784314,0.0,1.0
0.76862746,0.20784314,0.0,1.0
0.76862746,0.20784314,0.0,1.0
0.7647059,0.21176471,0.0,1.0
0.7647059,0.21176471,0.0,1.0
0.7647059,0.21176471,0.0,1.0
0.7647059,0.21176471,0.0,1.0
0.7607843,0.21568628,0.0,1.0
0.7607843,0.21568628,0.0,1.0
0.7607843,0.21568628,0.0,1.0
0.7607843,0.21568628,0.0,1.0
0.75686276,0.21960784,0.0,1.0
0.75686276,0.21960784,0.0,1.0
0.75686276,0.21960784,0.0,1.0
0.75686276,0.21960784,0.0,1.0
0.7529412,0.22352941,0.0,1.0
0.7529412,0.22352941,0.0,1.0
0.7529412,0.22352941,0.0,1.0
0.7529412,0.22352941,0.0,1.0
0.7490196,0.22745098,0.0,1.0
0.7490196,0.22745098,0.0,1.0
0.7490196,0.22745098,0.0,1.0
0.7490196,0.22745098,0.0,1.0
0.74509805,0.23137255,0.0,1.0
0.74509805,0.23137255,0.0,1.0
0.74509805,0.23137255,0.0,1.0
0.74509805,0.23137255,0.0,1.0
0.7411765,0.23529412,0.0,1.0
0.7411765,0.23529412,0.0,1.0
0.7411765,0.23529412,0.0,1.0
0.7411765,0.23529412,0.0,1.0
0.7372549,0.23921569,0.0,1.0
0.7372549,0.23921569,0.0,1.0
0.7372549,0.23921569,0.0,1.0
0.7372549,0.23921569,0.0,1.0
0.73333335,0.24313726,0.0,1.0
0.73333335,0.24313726,0.0,1.0
0.73333335,0.24313726,0.0,1.0
0.73333335,0.24313726,0.0,1.0
0.7294118,0.24705882,0.0,1.0
0.7294118,0.24705882,0.0,1.0
0.7294118,0.24705882,0.0,1.0
0.7294118,0.24705882,0.0,1.0
0.7254902,0.2509804,0.0,1.0
0.7254902,0.2509804,0.0,1.0
0.7254902,0.2509804,0.0,1.0
0.7254902,0.2509804,0.0,1.0
0.72156864,0.25490198,0.0,1.0
0.72156864,0.25490198,0.0,1.0
0.72156864,0.25490198,0.0,1.0
0.72156864,0.25490198,0.0,1.0
0.7176471,0.25882354,0.0,1.0
0.7176471,0.25882354,0.0,1.0
0.7176471,0.25882354,0.0,1.0
0.7176471,0.25882354,0.0,1.0
0.7137255,0.2627451,0.0,1.0
0.7137255,0.2627451,0.0,1.0
0.7137255,0.2627451,0.0,1.0
0.7137255,0.2627451,0.0,1.0
0.70980394,0.26666668,0.0,1.0
0.70980394,0.26666668,0.0,1.0
0.70980394,0.26666668,0.0,1.0
0.70980394,0.26666668,0.0,1.0
0.7058824,0.27058825,0.0,1.0
0.7058824,0.27058825,0.0,1.0
0.7058824,0.27058825,0.0,1.0
0.7058824,0.27058825,0.0,1.0
0.7019608,0.27450982,0.0,1.0
0.7019608,0.27450982,0.0,1.0
0.7019608,0.27450982,0.0,1.0
0.7019608,0.27450982,0.0,1.0
0.69803923,0.2784314,0.0,1.0
0.69803923,0.2784314,0.0,1.0
0.69803923,0.2784314,0.0,1.0
0.69803923,0.2784314,0.0,1.0
0.69411767,0.28235295,0.0,1.0
0.69411767,0.28235295,0.0,1.0
0.69411767,0.28235295,0.0,1.0
0.69411767,0.28235295,0.0,1.0
0.6901961,0.28627452,0.0,1.0
0.6901961,0.28627452,0.0,1.0
0.6901961,0.28627452,0.0,1.0
0.6901961,0.28627452,0.0,1.0
0.6862745,0.2901961,0.0,1.0
0.6862745,0.2901961,0.0,1.0
0.6862745,0.2901961,0.0,1.0
0.6862745,0.2901961,0.0,1.0
0.68235296,0.29411766,0.0,1.0
0.68235296,0.29411766,0.0,1.0
0.68235296,0.29411766,0.0,1.0
0.68235296,0.29411766,0.0,1.0
0.6784314,0.29803923,0.0,1.0
0.6784314,0.29803923,0.0,1.0
0.6784314,0.29803923,0.0,1.0
0.6784314,0.29803923,0.0,1.0
0.6745098,0.3019608,0.0,1.0
0.6745098,0.3019608,0.0,1.0
0.6745098,0.3019608,0.0,1.0
0.6745098,0.3019608,0.0,1.0
0.67058825,0.30588236,0.0,1.0
0.67058825,0.30588236,0.0,1.0
0.67058825,0.30588236,0.0,1.0
0.67058825,0.30588236,0.0,1.0
0.6666667,0.30980393,0.0,1.0
0.6666667,0.30980393,0.0,1.0
0.6666667,0.30980393,0.0,1.0
0.6666667,0.30980393,0.0,1.0
0.6627451,0.3137255,0.0,1.0
0.6627451,0.3137255,0.0,1.0
0.6627451,0.3137255,0.0,1.0
0.6627451,0.3137255,0.0,1.0
0.65882355,0.31764707,0.0,1.0
0.65882355,0.31764707,0.0,1.0
0.65882355,0.31764707,0.0,1.0
