r,g,b,a
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,0.46666667,0.46666667,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
