r,g,b,a
0.0,0.84705883,0.15294118,1.0
0.0,0.87058824,0.12941177,1.0
0.0,0.89411765,0.105882354,1.0
0.0,0.91764706,0.08235294,1.0
0.0,1.0,0.0,1.0
0.023529412,0.9764706,0.0,1.0
0.047058824,0.9529412,0.0,1.0
0.07058824,0.92941177,0.0,1.0
0.09411765,0.90588236,0.0,1.0
0.11764706,0.88235295,0.0,1.0
0.14117648,0.85882354,0.0,1.0
0.16470589,0.8352941,0.0,1.0
0.1882353,0.8117647,0.0,1.0
0.21176471,0.7882353,0.0,1.0
0.23529412,0.7647059,0.0,1.0
0.25882354,0.7411765,0.0,1.0
0.28235295,0.7176471,0.0,1.0
0.30588236,0.69411767,0.0,1.0
0.32941177,0.67058825,0.0,1.0
0.3529412,0.64705884,0.0,1.0
0.3764706,0.62352943,0.0,1.0
0.4,0.6,0.0,1.0
0.42352942,0.5764706,0.0,1.0
0.44705883,0.5529412,0.0,1.0
0.47058824,0.5294118,0.0,1.0
0.49411765,0.5058824,0.0,1.0
0.5176471,0.48235294,0.0,1.0
0.5411765,0.45882353,0.0,1.0
0.5647059,0.43529412,0.0,1.0
0.5882353,0.4117647,0.0,1.0
0.6117647,0.3882353,0.0,1.0
0.63529414,0.3647059,0.0,1.0
0.65882355,0.34117648,0.0,1.0
0.68235296,0.31764707,0.0,1.0
0.7058824,0.29411766,0.0,1.0
0.7294118,0.27058825,0.0,1.0
0.7529412,0.24705882,0.0,1.0
0.7764706,0.22352941,0.0,1.0
0.8,0.2,0.0,1.0
0.8235294,0.1764706,0.0,1.0
0.84705883,0.15294118,0.0,1.0
0.87058824,0.12941177,0.0,1.0
0.89411765,0.105882354,0.0,1.0
0.91764706,0.08235294,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.023529412,0.023529412,1.0
1.0,0.047058824,0.047058824,1.0
1.0,0.07058824,0.07058824,1.0
1.0,0.09411765,0.09411765,1.0
1.0,0.11764706,0.11764706,1.0
1.0,0.14117648,0.14117648,1.0
1.0,0.16470589,0.16470589,1.0
1.0,0.1882353,0.1882353,1.0
1.0,0.21176471,0.21176471,1.0
1.0,0.23529412,0.23529412,1.0
1.0,0.25882354,0.25882354,1.0
1.0,0.28235295,0.28235295,1.0
1.0,0.30588236,0.30588236,1.0
1.0,0.32941177,0.32941177,1.0
1.0,0.3529412,0.3529412,1.0
1.0,0.3764706,0.3764706,1.0
1.0,0.4,0.4,1.0
1.0,0.42352942,0.42352942,1.0
1.0,0.44705883,0.44705883,1.0
1.0,0.47058824,0.47058824,1.0
1.0,0.49411765,0.49411765,1.0
1.0,0.5176471,0.5176471,1.0
1.0,0.5411765,0.5411765,1.0
1.0,0.5647059,0.5647059,1.0
1.0,0.5882353,0.5882353,1.0
1.0,0.6117647,0.6117647,1.0
1.0,0.63529414,0.63529414,1.0
1.0,0.65882355,0.65882355,1.0
1.0,0.68235296,0.68235296,1.0
1.0,0.7058824,0.7058824,1.0
1.0,0.7294118,0.7294118,1.0
1.0,0.7529412,0.7529412,1.0
1.0,0.7764706,0.7764706,1.0
1.0,0.8,0.8,1.0
1.0,0.8235294,0.8235294,1.0
1.0,0.84705883,0.84705883,1.0
1.0,0.87058824,0.87058824,1.0
1.0,0.89411765,0.89411765,1.0
1.0,0.91764706,0.91764706,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
