r,g,b,a
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
0.23921569,0.23921569,0.23921569,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
